Total Population,California County,ZIP,Longitude,Latitude,Ozone Pctl,PM2.5 Pctl,Diesel PM Pctl,Pesticides Pctl,Traffic Pctl,Asthma Pctl,Cardiovascular Disease Pctl,Poverty
3456,Contra Costa,94565,-121.9161635,38.0037978,32.15,26.31,76.85,0.0,68.46,97.88,88.42,18.8
3381,Los Angeles,91384,-118.6737987,34.4444857,80.09,31.06,36.71,42.31,70.4,24.14,33.67,27.7
3168,San Bernardino,92324,-117.2863081,34.0292865,99.07,67.72,7.19,44.69,53.94,70.31,74.24,25.6
4661,Sacramento ,95608,-121.337082,38.6317698,59.69,39.45,50.29,0.0,21.35,88.7,62.6,38.9
3862,Los Angeles,91722,-117.9211251,34.0937632,79.99,71.38,47.64,0.0,36.84,59.26,60.59,17.7
5416,Sacramento ,95826,-121.3639394,38.5419331,50.54,35.21,33.29,55.45,29.54,87.9,71.97,32.0
4122,Riverside ,92557,-117.2207856,33.9488477,98.67,59.46,78.88,0.0,51.64,62.95,78.5,22.5
6110,Yolo ,95695,-121.788585,38.6811985,57.77,34.32,38.26,0.0,8.84,63.11,59.12,36.2
3181,San Francisco,94109,-122.4196438,37.7854142,3.12,28.53,99.89,0.0,65.24,42.76,11.84,54.6
1980,Sonoma ,95404,-122.713301,38.4416422,10.57,10.14,77.22,0.0,80.48,52.44,57.13,39.4
5874,Los Angeles,91020,-118.2257027,34.2110063,82.48,59.84,70.6,0.0,71.33,12.26,36.05,23.5
2251,Los Angeles,90815,-118.1432883,33.8018724,24.88,64.24,90.39,55.66,94.79,18.25,41.95,23.6
6322,San Diego,92020,-116.9898526,32.7999329,57.06,46.48,38.59,0.0,41.24,57.59,56.18,19.3
2955,Santa Clara,95133,-121.8546427,37.3694495,20.85,32.26,87.02,0.0,93.6,35.51,24.21,34.8
4157,Orange ,92841,-117.9715258,33.7957982,42.56,73.24,34.08,0.0,39.0,39.02,45.03,43.3
6077,San Diego,92027,-117.0593149,33.1414533,55.38,17.42,28.71,0.0,15.81,37.9,53.5,49.1
7067,Kern ,93505,-117.9674113,35.1264114,88.7,5.38,2.3,0.0,0.89,90.42,69.14,46.3
8781,Contra Costa,94561,-121.6702095,37.9891088,37.57,24.94,42.78,62.34,9.01,78.91,79.51,24.9
2837,Fresno ,93704,-119.8084855,36.8011471,82.48,96.17,13.86,0.0,33.25,85.85,26.89,8.9
5382,San Diego,92020,-116.9918628,32.8138271,58.23,45.76,49.45,0.0,24.84,63.82,64.61,16.0
4991,Solano ,95620,-121.8516301,38.4286407,37.57,21.17,50.48,85.07,79.66,68.91,63.72,16.6
6757,Los Angeles,91765,-117.7984574,34.0317834,70.52,90.29,88.76,0.0,96.05,20.76,26.16,19.3
6937,San Luis Obispo,93446,-120.6911679,35.6355612,39.99,8.24,52.76,46.24,37.81,50.47,23.47,49.6
6876,Santa Barbara,93454,-120.4186966,34.9705531,10.57,11.87,55.13,50.86,73.89,86.65,52.01,33.0
