Total Population,California County,Ozone Pctl,PM2.5 Pctl,Diesel PM Pctl,Pesticides Pctl,Traffic Pctl,Asthma Pctl,Poverty
7540,Los Angeles,40.75,85.67,99.45,0.0,37.89,99.75,96.54413383
5629,Los Angeles,46.65,87.71,96.23,0.0,93.14,68.9,48.01259347
3996,Los Angeles,22.85,85.25,81.69,0.0,99.3,96.64,69.82668067
4687,Los Angeles,65.75,65.07,68.99,0.0,89.0,64.06,64.77416631
3766,Los Angeles,39.96,87.4,99.1,0.0,57.38,71.51,80.91152815
3755,Los Angeles,22.18,84.94,81.69,0.0,96.94,96.64,81.04593248
4052,Los Angeles,27.38,82.33,78.84,18.23,80.08,41.71,49.71170719
2877,Kern ,93.66,98.9,21.54,97.21,4.2,75.27,68.43769766
2227,San Diego,5.05,53.69,85.01,0.0,81.31,91.67,74.85594552
5701,Fresno ,76.62,98.43,27.92,91.17,54.56,81.05,43.50916573
7898,San Bernardino,97.87,74.03,90.9,0.0,71.91,78.28,65.6394699
5575,Los Angeles,31.9,86.97,94.63,0.0,26.52,73.16,76.59115426
3362,Fresno ,83.92,96.9,74.83,72.8,9.9,87.14,67.35294118
2714,Los Angeles,21.77,82.53,70.2,0.0,31.23,90.11,87.90010552
2504,Fresno ,82.6,97.55,65.48,75.89,18.64,86.29,47.52028855
2277,Los Angeles,75.61,60.83,71.6,0.0,99.5,80.33,81.20624663
4923,Los Angeles,59.01,88.65,73.75,0.0,93.11,24.1,45.71428571
5293,Los Angeles,72.53,62.45,85.73,0.0,91.84,73.36,54.18074324
3378,Kern ,84.75,99.21,90.13,0.0,61.81,76.04,82.49266862
5745,Tulare ,91.98,96.14,24.56,95.62,4.89,74.06,64.21504573
5098,Fresno ,89.4,96.92,96.07,0.0,59.21,93.03,90.74146724
3452,Los Angeles,55.23,75.53,75.94,0.0,88.92,56.13,60.45076469
6223,Stanislaus ,60.59,50.72,79.1,0.0,63.99,85.68,74.55300704
3431,Los Angeles,48.99,86.95,95.71,0.0,88.14,55.73,57.05455523
4673,Fresno ,86.37,97.17,93.78,4.55,55.96,94.71,67.78333696
3720,Los Angeles,27.89,83.99,78.84,9.6,42.0,41.72,48.33957553
2771,San Joaquin,43.63,43.29,68.68,60.74,46.64,92.99,70.14989293
5262,Los Angeles,64.09,89.24,74.79,14.18,70.59,63.7,55.15678126
3716,Riverside ,94.74,91.09,67.41,0.0,79.91,58.6,72.39112572
5723,Fresno ,91.96,96.55,96.17,0.0,76.9,92.35,65.53214479
5577,Los Angeles,83.51,94.08,86.75,0.0,20.61,69.66,71.78564666
6973,Los Angeles,23.21,78.71,88.25,4.98,93.99,71.59,55.02497796
9297,Kern ,78.1,97.96,66.69,38.03,38.17,39.17,79.10259111
5397,Yolo ,42.26,34.73,58.84,67.82,75.31,76.23,72.69053118
5335,Los Angeles,43.7,87.76,98.16,0.0,95.04,60.61,68.98305085
5790,Los Angeles,31.84,84.71,65.83,66.29,48.38,47.57,71.3063894
5593,Los Angeles,62.95,89.83,93.83,0.0,39.1,63.84,69.23762024
3164,Los Angeles,28.19,81.91,74.54,11.66,95.97,41.79,34.8721355
6198,Los Angeles,63.94,69.9,93.59,0.0,89.36,21.37,54.77859191
3209,Los Angeles,0.0,73.02,94.91,54.2,73.69,79.02,36.71291355
2589,Los Angeles,42.42,84.16,99.23,0.0,84.26,95.58,57.02882483
6854,San Bernardino,98.77,76.46,49.71,0.0,55.86,98.95,67.27740763
4567,Los Angeles,46.84,87.88,96.19,0.0,94.27,82.11,55.07150715
3064,Los Angeles,46.46,85.1,99.68,0.0,97.7,80.99,52.52817105
6798,San Bernardino,98.64,67.27,68.39,23.12,82.08,84.5,59.82696467
6414,Riverside ,95.01,82.24,75.79,0.0,91.24,71.21,65.26015228
10473,Madera ,68.61,90.24,65.32,70.14,49.05,89.31,57.45021337
5804,Fresno ,65.61,91.7,13.15,94.09,3.04,77.76,66.71735824
3343,Los Angeles,26.75,86.06,81.69,0.0,51.1,73.59,77.54842807
4292,Los Angeles,31.12,85.45,80.47,0.0,57.0,47.57,63.57516829
5155,Los Angeles,0.0,64.44,92.94,25.31,57.13,96.08,72.18344965
4789,Stanislaus ,57.76,49.07,71.63,99.77,81.54,80.09,58.78426698
6415,Los Angeles,7.29,72.42,94.07,72.07,89.93,88.54,44.51750781
3175,Fresno ,86.86,96.78,74.19,23.85,52.03,82.61,60.92384519
4694,Fresno ,83.73,97.43,65.45,76.05,27.65,84.97,80.13413506
3264,Merced ,74.01,65.82,94.14,0.0,37.93,98.94,80.22435897
8946,San Bernardino,96.15,94.28,54.23,2.89,26.93,78.27,61.07484769
4762,Fresno ,89.52,95.24,94.77,0.0,78.67,85.11,49.57438934
6251,Los Angeles,24.47,84.52,73.1,0.0,46.94,85.61,62.53314616
4750,Los Angeles,21.42,75.86,82.95,0.0,80.67,67.26,49.22171602
4084,Los Angeles,0.0,73.35,94.9,22.52,55.27,77.24,36.16856256
3789,Los Angeles,67.38,88.86,80.68,19.99,54.55,63.14,54.12682436
2983,Los Angeles,17.23,77.97,47.6,0.0,28.58,91.24,82.99468584
6450,Stanislaus ,71.41,57.68,50.06,97.04,47.89,75.17,44.69502043
3833,Los Angeles,0.0,68.01,91.81,52.31,80.6,74.4,56.97569757
1741,Los Angeles,69.78,90.58,66.35,37.66,93.46,54.58,36.65501166
2666,Los Angeles,0.0,70.98,88.91,69.41,85.89,94.05,33.48017621
4497,Riverside ,94.9,87.47,77.97,0.0,84.17,97.54,61.14341085
5888,Fresno ,85.23,96.46,80.36,4.28,70.03,86.82,63.76177658
2053,Riverside ,77.05,90.56,94.61,0.0,94.62,19.45,69.96996997
3577,Los Angeles,28.02,86.14,82.25,0.0,56.36,58.33,78.19305474
4916,Los Angeles,34.01,87.01,99.1,0.0,26.91,72.83,76.41313383
3105,Los Angeles,41.7,87.74,98.21,0.0,96.66,70.72,70.4885344
3548,Los Angeles,45.33,87.7,97.51,0.0,91.14,54.9,60.05326232
4763,San Bernardino,95.99,92.26,64.94,62.74,78.81,92.68,57.74907749
5020,San Joaquin,43.6,43.23,66.8,31.75,28.08,92.99,80.82315694
1164,Los Angeles,0.0,75.23,91.57,38.26,34.41,75.65,61.58129176
2879,Los Angeles,24.55,85.62,81.69,0.0,44.69,92.5,61.29933636
4967,Los Angeles,0.0,74.61,93.79,55.06,90.68,77.11,56.36363636
5461,Los Angeles,41.17,87.07,77.63,32.25,94.4,78.88,36.46477132
3749,Los Angeles,56.51,73.92,90.6,0.0,56.37,43.72,68.90319386
2822,Los Angeles,27.04,86.0,82.25,0.0,43.89,79.91,52.99539171
4409,Los Angeles,27.2,86.35,81.89,0.0,46.8,79.92,74.9757517
4450,San Joaquin,47.51,46.45,49.73,47.03,41.01,43.67,82.11484948
3350,Los Angeles,32.04,85.78,94.32,0.0,98.72,78.7,76.48514851
6962,Los Angeles,7.0,73.38,93.96,0.0,82.75,90.97,64.04758611
164,Los Angeles,48.86,81.11,97.76,0.0,96.64,18.98,54.85714286
2897,Fresno ,85.9,97.12,93.55,37.36,42.36,85.04,53.63036304
3539,Kern ,82.88,99.66,95.58,0.0,44.87,86.27,58.97363993
6662,Fresno ,86.75,92.4,14.7,89.51,1.62,63.43,76.80714077
3780,Los Angeles,61.37,89.82,93.33,46.13,26.34,62.9,52.38853503
4360,Los Angeles,43.74,82.46,98.63,0.0,60.06,46.96,72.78525868
5263,Los Angeles,0.0,70.05,78.84,19.76,94.79,53.49,33.51955307
2560,San Joaquin,43.89,42.84,63.02,77.85,93.45,92.99,71.64576207
6197,Los Angeles,59.93,89.7,84.26,0.0,35.56,54.77,71.85618729
4796,Stanislaus ,69.99,58.08,32.6,96.48,36.58,75.17,39.21698739
5634,San Bernardino,99.04,75.19,54.5,0.0,60.48,81.84,73.20285348
6409,San Joaquin,44.03,43.83,42.25,71.9,83.56,77.52,55.92861464
3373,Los Angeles,14.06,74.16,90.46,0.0,90.13,90.98,66.22628726
3216,Los Angeles,30.19,86.78,82.25,0.0,36.91,74.09,85.57753669
6310,Los Angeles,66.07,89.0,77.22,20.33,50.11,63.86,65.47347869
5069,Los Angeles,73.55,90.16,74.93,0.0,41.44,59.11,55.36139793
6430,Stanislaus ,58.57,49.36,69.77,82.2,74.59,80.09,61.23673925
6342,Los Angeles,13.66,73.2,91.53,64.46,69.1,74.18,59.46708464
3683,Los Angeles,47.67,88.05,88.82,0.0,90.63,64.58,49.40393679
7929,Fresno ,82.9,98.05,19.36,95.18,9.93,78.42,63.55733407
2881,Los Angeles,44.64,80.11,95.34,0.0,97.34,45.39,58.9112344
4844,Los Angeles,47.34,86.37,95.71,0.0,95.52,69.8,70.36433951
4484,Los Angeles,32.38,86.91,80.36,0.0,32.13,48.55,62.35026848
6445,Los Angeles,82.72,94.46,82.3,0.0,79.12,69.66,46.49758454
8264,Kern ,84.88,99.47,67.66,0.0,33.74,80.93,75.17888563
4630,Riverside ,94.15,93.2,50.48,0.0,89.01,58.06,38.28337875
2281,Los Angeles,61.02,88.96,78.56,38.43,90.57,54.78,41.67981073
4395,Los Angeles,62.54,89.99,93.85,61.97,21.3,64.28,49.66597558
7682,Tulare ,78.63,97.32,15.21,88.44,8.71,35.49,78.44187964
4004,Sacramento ,46.72,39.26,85.51,30.62,84.51,73.12,59.49535193
3495,Los Angeles,22.95,83.48,70.43,0.0,29.24,90.11,75.24456522
5516,San Bernardino,99.42,69.3,75.23,0.0,70.04,97.26,64.19111484
4319,Kern ,80.61,99.74,97.92,0.0,71.97,63.33,81.02553007
