Total Population,California County,ZIP,Longitude,Latitude,Ozone Pctl,PM2.5 Pctl,Diesel PM Pctl,Pesticides Pctl,Traffic Pctl,Asthma Pctl,Poverty Pctl,Cardiovascular Disease Pctl
4999,Santa Barbara,93110,-119.784079,34.4366709,25.87,1.86,25.3,38.33,72.9,26.51,44.17,2.88
4143,San Francisco,94109,-122.4229252,37.8058607,7.58,30.7,98.78,0.0,50.76,46.43,10.79,7.29
3257,Orange ,92651,-117.7535469,33.6016816,60.88,30.7,20.25,0.0,58.84,3.72,32.46,1.45
1271,San Bernardino,92314,-116.8619415,34.2352744,100.0,17.81,2.28,0.0,,29.65,47.68,56.5
3129,Alameda ,94568,-121.9419571,37.7068544,22.34,30.7,93.01,0.0,44.3,28.36,8.42,45.12
3854,Ventura ,91361,-118.8899584,34.1696864,60.88,40.92,21.13,18.73,90.11,4.87,26.65,23.19
5961,El Dorado,95682,-120.9950293,38.5829792,73.93,30.7,3.7,20.05,25.13,10.61,22.33,25.73
3728,Sonoma ,95446,-123.0092064,38.533659,11.08,4.84,1.27,61.11,9.14,50.22,55.31,11.23
2283,Alameda ,94611,-122.2510667,37.8260219,7.58,30.7,96.71,0.0,23.07,31.79,26.12,16.87
3461,Alameda ,94610,-122.2416233,37.8148343,7.58,30.7,96.71,0.0,64.9,64.51,11.7,23.7
4725,San Diego,91978,-116.9642155,32.7373196,40.49,69.14,23.76,0.0,52.05,24.44,41.27,11.57
4688,Santa Clara,95148,-121.7916431,37.3336993,22.34,52.61,21.68,8.62,14.3,26.33,22.77,31.64
4073,Ventura ,93010,-119.0320318,34.2331848,53.02,40.92,33.54,70.5,15.55,34.37,12.68,66.49
4986,Los Angeles,90403,-118.4904213,34.0281567,53.02,81.66,62.95,0.0,66.34,15.53,21.27,7.51
6159,Alameda ,94538,-121.9630732,37.5500775,16.94,32.61,51.8,0.0,28.24,68.84,4.63,69.36
4397,Los Angeles,93551,-118.1984139,34.6069598,91.1,7.76,10.55,0.0,36.38,46.5,18.44,80.01
4043,Los Angeles,90034,-118.3938372,34.0434085,53.02,81.66,77.14,0.0,69.36,19.7,3.05,32.63
2757,Inyo ,93514,-118.2425011,37.3448259,91.1,1.86,0.46,1.8,3.62,58.12,29.15,60.38
